affiliation,first_affiliation,first_ROR,second_affiliation,second_ROR,third_affiliation,third_ROR,fourth_affiliation,fourth_ROR,fifth_affiliation,fifth_ROR,sixth_affiliation,sixth_ROR
"""Ecole polytechnique, LMS, CNRS""",École Polytechnique,https://ror.org/05hy3tk52,Solids Mechanic Laboratory,https://ror.org/00xd1ek73,French National Centre for Scientific Research,https://ror.org/02feahw73,,,,,,
Jet Propulsion Lab Caltech,Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
Institute Laue-Langevin and University of Grenoble Alpes,Institut Laue-Langevin,https://ror.org/01xtjs520,Grenoble Alpes University,https://ror.org/02rx3b187,,,,,,,,
Institut Laue-Langevin and Univ. Grenoble Alpes,Institut Laue-Langevin,https://ror.org/01xtjs520,Grenoble Alpes University,https://ror.org/02rx3b187,,,,,,,,
"""Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109, USA""",Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""NASA Jet Propulsion Laboratory / Columbus Technologies, Inc. / Columbia University""",Jet Propulsion Lab,https://ror.org/027k65916,Columbus Technologies and Services (United States),https://ror.org/00g81mg52,Columbia University,https://ror.org/00hj8s172,,,,,,
"""UniversitÃ© CÃ´te dâ€™Azur, IRD, CNRS, Observatoire de la CÃ´te dâ€™Azur, GÃ©oazur, Institut Universitaire de France""",Université Côte d'Azur,https://ror.org/019tgvf94,Institut de Recherche pour le Développement,https://ror.org/05q3vnk25,French National Centre for Scientific Research,https://ror.org/02feahw73,Observatoire de la Côte d’Azur,https://ror.org/039fj2469,GeoAzur,https://ror.org/05xtktk35,Institut Universitaire de France,https://ror.org/055khg266
"""Deutscher Wetterdienst, Hohenpeissenberg, Germany (DE) and School of Earth, Atmospheric and Life Sciences, University of Wollongong, Wollongong, NSW (AU)""",Deutscher Wetterdienst,https://ror.org/02nrqs528,University of Wollongong,https://ror.org/00jtmb277,,,,,,,,
"""NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA""",Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""Howard Hughes Medical Institute, Division of Biology and Biological Engineering, California Institute of Technology""",Howard Hughes Medical Institute,https://ror.org/006w34k90,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
Caltech - Jet Propulsion Laboratory,California Institute of Technology,https://ror.org/05dxps055,Jet Propulsion Lab,https://ror.org/027k65916,,,,,,,,
"""University of Bern, ETH Zurich""",University of Bern,https://ror.org/02k7v4d05,ETH Zurich,https://ror.org/05a28rw58,,,,,,,,
"""Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA""",Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""Institute of Environmental Physics, University of Bremen, Bremen (DE), Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU)""",University of Bremen,https://ror.org/04ers2y35,University of Wollongong,https://ror.org/00jtmb277,,,,,,,,
"""Embryology: Concepts & Techniques in Modern Developmental Biology, Marine Biological Laboratory, Woods Hole, MA, 02543; University of Alabama at Birmingham, Birmingham, AL 35294""",University of Alabama at Birmingham,https://ror.org/008s83205,Marine Biological Laboratory,https://ror.org/046dg4z72,,,,,,,,
"""Earth-Life Science Institute, Tokyo Institute of Technology, Ookayama, Meguro-ku, Tokyo, Japan""",Earth-Life Science Institute,https://ror.org/01yeyd808,Tokyo Institute of Technology,https://ror.org/0112mx960,,,,,,,,
"""Laboratoire d'Etudes  du Rayonnement et de la MatiÃ¨re en Astrophysique et AtmosphÃ¨res (LERMA), Sorbonne UniversitÃ©, CNRS, Paris (FR)""",Laboratory for Studies of Radiation and Matter in Astrophysics and Atmospheres,https://ror.org/01g5pq328,Sorbonne University,https://ror.org/02en5vm52,French National Centre for Scientific Research,https://ror.org/02feahw73,,,,,,
"""UnitÃ© Mixte de Service (UMS 3365), Observatoire des Sciences de lâ€™Univers Ã  La RÃ©union (OSU-R), UniversitÃ© de la RÃ©union, Saint-Denis de la RÃ©union (FR)""",Observatoires des Sciences de l'Univers,https://ror.org/040bzgy82,University of Reunion Island,https://ror.org/005ypkf75,,,,,,,,
JPL-Caltech,Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""1 Department of Neurology and Neurosurgery, McGill University, Montreal, Quebec, Canada 2 Metabolic Disorders and Complications Program, and Brain Repair and Integrative Neuroscience Program, Research Institute of the McGill University Health Centre, Montreal, Quebec, Canada 3 Division of Experimental Medicine, Department of Medicine, McGill University, Montreal, Quebec, Canada 4 Department of Genetics, Harvard Medical School, Boston, MA, USA""",McGill University,https://ror.org/01pxwe438,Research Institute of the McGill University Health Centre,https://ror.org/04cpxjv19,Harvard University,https://ror.org/03vek6s52,,,,,,
""" Institute of Environmental Physics, University of Bremen, Bremen (DE), Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU) """,University of Bremen,https://ror.org/04ers2y35,University of Wollongong,https://ror.org/00jtmb277,,,,,,,,
