affiliation,searchString_Affiliation,ROR_Affiliation,organizationLookupName_Affiliation,country_Affiliation,match_Affiliation,chosen_Affiliation,score,numberOfResults_Affiliation,valid,COMMENTS
NASA Solar System Workings Program,NASA,https://ror.org/027ka1x80,National Aeronautics and Space Administration,United States,ACRONYM,TRUE,0.9,20,TRUE,
Rosen Center at Caltech,,https://ror.org/05dxps055,California Institute of Technology,United States,No Match,,,16,FALSE,
National Science Foundation Graduate Student Research Fellowship,,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,,,19,FALSE,
National 270 Science Foundation,,https://ror.org/05v01mk25,Division of Earth Sciences,United States,PHRASE,,,20,FALSE,
This work was supported by National Institutes of Health grant R01-GM055796 to SKL and T32-HL07188 to VAS.,This work was supported by National Institutes of Health grant R01-GM055796 to SKL,https://ror.org/01cwqze88,National Institutes of Health,United States,COMMON TERMS,TRUE,1,39,TRUE,
US National Science Foundation,,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,,,4,FALSE,
Packard Foundation,,https://ror.org/032atxq54,David and Lucile Packard Foundation,United States,PHRASE,,,18,FALSE,
Perimeter Institute for Theoretical Physics,Perimeter Institute for Theoretical Physics,https://ror.org/013m0ej23,Perimeter Institute,Canada,PHRASE,TRUE,1,17,TRUE,
U.S. Geological Survey,U.S. Geological Survey,https://ror.org/035a68863,United States Geological Survey,United States,PHRASE,TRUE,1,6,TRUE,
Allen Discovery Center,,https://ror.org/03cpe7c52,Allen Institute,United States,PHRASE,,,17,FALSE,
Chinese Academy of Sciences,Chinese Academy of Sciences,https://ror.org/034t30j35,Chinese Academy of Sciences,China,PHRASE,TRUE,1,19,TRUE,
DOE Office of Science User Facility,,https://ror.org/00mmn6b08,Office of Science,United States,PHRASE,,,16,FALSE,
This material is based upon work supported by the National Science Foundation under Grant No. IUSE-1915544 to LKR and the National Institute of General Medical Sciences of the National Institute of Health Award R25GM130517 to LKR. The Genomics Education Partnership is fully financed by Federal moneys. The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health.,,,,,No Match,,,38,FALSE,Too many
French Agence Nationale de la Recherche (ANR Project APOSTIC),French Agence Nationale de la Recherche (ANR Project APOSTIC),https://ror.org/00rbzpz17,Agence Nationale de la Recherche,France,COMMON TERMS,TRUE,1,16,TRUE,
Department of Energy Office of Science,,https://ror.org/00mmn6b08,Office of Science,United States,PHRASE,,,17,FALSE,
Allan V. C. Davis Foundation,,,,,No Match,,,17,FALSE,
Helen Hay Whitney Postdoctoral Fellowship,,https://ror.org/037ebw447,Helen Hay Whitney Foundation,United States,PHRASE,,,12,FALSE,
National Science Foundation,National Science Foundation,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,TRUE,1,20,TRUE,
PHS,PHS,https://ror.org/05xf94514,United States Public Health Service,United States,ACRONYM,TRUE,0.9,8,TRUE,
US Office of Naval Research,US Office of Naval Research,https://ror.org/00rk2pe57,Office of Naval Research,United States,COMMON TERMS,TRUE,0.94,8,TRUE,
JSPS KAKENHI,JSPS,https://ror.org/02m7axw05,Japan Society for the Promotion of Science,United Kingdom,ACRONYM,TRUE,0.9,10,TRUE,
US Air Force Office of Scientific Research through the MURI grant,,https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,United States,PHRASE,,,4,FALSE,
National Science Foundation Graduate Research Fellowship,,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,,,20,FALSE,
National Research Council,National Research Council,https://ror.org/02eq2w707,"National Academies of Sciences, Engineering, and Medicine",United States,PHRASE,TRUE,1,23,TRUE,
Southern California Earthquake Center,Southern California Earthquake Center,https://ror.org/03vhnve41,Southern California Earthquake Center,United States,PHRASE,TRUE,1,12,TRUE,
National Institute of General Medical Sciences,National Institute of General Medical Sciences,https://ror.org/04q48ey07,National Institute of General Medical Sciences,United States,PHRASE,TRUE,1,17,TRUE,
Damon Runyon Cancer Research Foundation,Damon Runyon Cancer Research Foundation,https://ror.org/01gd7b947,Damon Runyon Cancer Research Foundation,United States,PHRASE,TRUE,1,18,TRUE,
Department of Energy - Basic Energy Sciences,,https://ror.org/05mg91w61,Office of Basic Energy Sciences,,No Match,,,15,FALSE,
AFOSR,AFOSR,https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,United States,ACRONYM,TRUE,0.9,1,TRUE,
Geological Society of America,Geological Society of America,https://ror.org/0029f7m05,Geological Society of America,United States,PHRASE,TRUE,1,19,TRUE,
Caltech (Housner Fund),,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,,,12,FALSE,
Air Force Office of Scientific Research,,https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,United States,PHRASE,,,11,FALSE,
This work was supported by Canadian Mennonite University.,,https://ror.org/046qgfw50,Canadian Mennonite University,Canada,PHRASE,,,20,FALSE,
Kimmel Foundation,,,,United States,PHRASE,,,18,FALSE,
FQXi,,https://ror.org/016en1t86,Foundational Questions Institute,United States,PHRASE,,,0,FALSE,
Caltech,Caltech,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,TRUE,1,1,TRUE,
The work was supported by the Russian Science Foundation (project No. 19-74-20178) and by the Russian Foundation for Basic Research (17-00-00282 KOMFI).,by the Russian Foundation for Basic Research (17-00-00282 KOMFI).,https://ror.org/02mh1ke95,Russian Foundation for Basic Research,Russia,COMMON TERMS,TRUE,1,4,TRUE,
The work was supported by the Russian Science Foundation (project No. 19-74-20178) and by the Russian Foundation for Basic Research (17-00-00282 KOMFI).,The work was supported by the Russian Science Foundation (project No. 19-74-20178),https://ror.org/03y2gwe85,Russian Science Foundation,Russia,COMMON TERMS,TRUE,1,4,TRUE,
Burroughs Welcome Fund Career Award at the Scientific Interface,,https://ror.org/01d35cw23,Burroughs Wellcome Fund,United States,PHRASE,,,15,FALSE,
DOE,,https://ror.org/01bj3aw27,United States Department of Energy,United States,ACRONYM,,,0,FALSE,
Swiss National Science Foundation,Swiss National Science Foundation,https://ror.org/00yjd3n13,Swiss National Science Foundation,Switzerland,PHRASE,TRUE,1,18,TRUE,
Paul G. Allen Frontiers Group and Prime Awarding Agency,,https://ror.org/03cpe7c52,Allen Institute,United States,PHRASE,,,40,FALSE,
National Institute of General Medical Sciences of the National Institutes of Health.,,https://ror.org/04q48ey07,National Institute of General Medical Sciences,United States,PHRASE,,,14,FALSE,
NIH,NIH,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,0.9,6,TRUE,
NIH,NIH,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,0.9,6,TRUE,
"""Dow, Inc.""",,https://ror.org/032hx4q18,Dow Chemical (United States),United States,PHRASE,,,0,FALSE,
NIH,NIH,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,0.9,6,TRUE,
La Fondation Pierre-Gilles de Gennes,La Fondation Pierre-Gilles de Gennes,https://ror.org/04trj1363,Fondation Pierre-Gilles de Gennes pour la Recherche,France,COMMON TERMS,TRUE,0.92,15,TRUE,
Howard Hughes Medical Institute (HHMI),Howard Hughes Medical Institute (HHMI),https://ror.org/006w34k90,Howard Hughes Medical Institute,United States,COMMON TERMS,TRUE,1,19,TRUE,
Caltech â€“ Cecil and Sally Drinkward Fellowship,,,,,No Match,,,22,FALSE,
U.S. Army Research Office Institute for Collaborative Biotechnologies,,,,,No Match,,,5,FALSE,
Atomic Energy Commission,,https://ror.org/03nhmbj89,United States Nuclear Regulatory Commission,United States,No Match,,,13,FALSE,
La Fondation Pierre Gilles de Gennes,,https://ror.org/04trj1363,Fondation Pierre-Gilles de Gennes pour la Recherche,France,COMMON TERMS,,,15,FALSE,
United States Geological Survey,United States Geological Survey,https://ror.org/035a68863,United States Geological Survey,United States,PHRASE,TRUE,1,6,TRUE,
XSEDE,XSEDE,https://ror.org/05524hb64,Extreme Science and Engineering Discovery Environment,United States,ACRONYM,TRUE,0.9,1,TRUE,
USGS,USGS,https://ror.org/035a68863,United States Geological Survey,United States,ACRONYM,TRUE,0.9,1,TRUE,
Indo-US Science and Technology Forum,,https://ror.org/03sw64e71,Indo-US Science and Technology Forum,,No Match,,,5,FALSE,
Ford Foundation Graduate Fellowship,,https://ror.org/02fvtx219,Ford Foundation,,No Match,,,16,FALSE,
GIST-Caltech Collaborative Research,GIST-Caltech Collaborative Research,,,United States,COMMON TERMS,TRUE,0.94,15,TRUE,SPLIT. Caltech AND https://ror.org/024kbgz78 - Gwangju Institute of Science and Technology
"""European Union H2020, INTERACT transnational access""",,https://ror.org/019w4f821,European Union,,No Match,,,32,FALSE,
Department of Energy,,https://ror.org/01bj3aw27,United States Department of Energy,,No Match,,,22,FALSE,
Howard Hughes Medical Institute,Howard Hughes Medical Institute,https://ror.org/006w34k90,Howard Hughes Medical Institute,United States,PHRASE,TRUE,1,19,TRUE,
Finnish Meteorological Institute,Finnish Meteorological Institute,https://ror.org/05hppb561,Finnish Meteorological Institute,Finland,PHRASE,TRUE,1,19,TRUE,
Molecular Software Sciences Institute,Molecular Software Sciences Institute,https://ror.org/03x8p5f11,Molecular Sciences Software Institute,United States,COMMON TERMS,TRUE,1,19,TRUE,
French ministry of public research,,https://ror.org/00rbzpz17,Agence Nationale de la Recherche,France,,,,16,FALSE,
Caltech DeLogi Fund,,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,,,12,FALSE,
JPL-RTD/PDF,JPL,https://ror.org/027k65916,Jet Propulsion Lab,United States,ACRONYM,TRUE,0.9,5,TRUE,
NSF | GEO | EAR,NSF GEO EAR,https://ror.org/05v01mk25,Division of Earth Sciences,United States,ACRONYM,TRUE,0.9,18,TRUE,
This research was supported by Colorado State Universityâ€™s Vice President of Research and National Institutes of Health (NIH): R01-NS115947 to F. Hoerndli.,National Institutes of Health (NIH),https://ror.org/01cwqze88,National Institutes of Health,United States,COMMON TERMS,TRUE,1,6,TRUE,SPLIT. NIH AND https://ror.org/03k1gpj17 - Colorado State University
Army Research Office,,https://ror.org/05epdh915,United States Army Research Office,United States,COMMON TERMS,,,14,FALSE,
This work was supported by Department of Biotechnology to KS and DDD (BT/PR13724/BRB/10/782/2010). The award of direct Senior Research Fellowship to SP from Council of Scientific and Industrial Research (9/1014(0001)2K10-EMR-I) is greatly acknowledged.,,https://ror.org/03tjsyq23,Department of Biotechnology,India,,,,2,FALSE,SPLIT.  Department of Biotechnology AND https://ror.org/021wm7p51 - Council of Scientific and Industrial Research
The National Science Foundation,The National Science Foundation,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,TRUE,1,20,TRUE,
National institute of Mental Health,National Institute of Mental Health,https://ror.org/04xeg9z08,National Institute of Mental Health,United States,PHRASE,TRUE,1,15,TRUE,
Moore Foundation,Moore Foundation,https://ror.org/006wxqw41,Gordon and Betty Moore Foundation,United States,FUZZY,TRUE,0.97,15,TRUE,
"""This research was supported by the Intramural Research Program of the NHLBI, NIH""",NHLBI,https://ror.org/012pb6c26,National Heart Lung and Blood Institute,United States,ACRONYM,TRUE,0.9,21,TRUE,
"""The European Commission as part of the 7th Framework Programme for Research and Technological Development (Marie-Curie International Outgoing Fellowship project """"AMBiCon"""")""",The European Commission as part of the 7th Framework Programme for Research and Technological Development (Marie-Curie International Outgoing Fellowship project AMBiCon),https://ror.org/00k4n6c32,European Commission,Belgium,FUZZY,TRUE,1,35,TRUE,
National Institutes of Health,National Institutes of Health,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,1,17,TRUE,
CNES,CNES,https://ror.org/04h1h0y33,Centre National d'Ã‰tudes Spatiales,France,ACRONYM,TRUE,0.9,1,TRUE,
